subject,jumlah_tiket
Permintaan Pembukaan Trigger OMSPAN untuk perbaikan capaian output Pemda,1
Kas di Bendahara Pengeluaran Minus,1
SPM Gaji Induk tidak bisa divalidasi di FO SPAN,1
Tanya File Backup SAS 2019,1
Perbedaan rincian SSPB antara OMSPAN dengan SIMPONI,1
capaian output di erekon tidak muncul,1
tidak bisa daftar email sakti,1
Salah Jurnal,1
permintaan buka approve modul aset,1
Alur proses pendaftaran PPSPM satker SAKTI,1
Tidak Bisa Verifikasi Referensi Satker,1
Permasalahan Migrasi Server ke PC Workstation,1
Upload USERNAME_MASKED,1
PC tidak masuk join domain,1
Permohonan Pembatalan Approve Transaksi,1
Status SP2D belum dikonfirmasi Bank Overbooking,1
NOMOR REGISTER HIBAH TIDAK MUNCUL DI APLIKASI 2019,1
"Data Koreksi SPM yang diupload, tidak muncul di menu Kasi PD",1
Push ulang,1
SP2D UP,1
NOMOR SERTIFIKAT BNT,1
Permintaan Pembatalan (Void) SP2B BLU Rumkital Dr. Ramelan,1
Permohonan Penyamaan Data,1
Validasi Tukin pada pembuatan Gaji Susulan,1
USERNAME_MASKED pada OPD (Dinas-Dinas),1
penerbitan SP2d,1
Data SP2D yang belum dikonfirmasi Bank,1
aplikasi sakti,1
Permohonan pembatalan Reklas Keluar,1
Konfirmasi Setoran sisa TUP Tahun 2019 sehubungan E-Rekon&LK,1
SOP GUP BPP SAKTI,1
Permintaan petunjuk penyelesaian masalah kontrak SPAN New Production,1
Push E-Rekon,1
Perbaikan Data SP2D,1
Koreksi UP TUP Satker 426839 memunculkan Saldo UP TUP di Neraca Lajur.,1
email aktivasi tidak terkirim ke email yang telah didaftarkan,1
LPJ Bendahara (Rekonsiliasi),1
Permohonan Pembatalan Transaksi Pengembangan dengan KDP dan Transaksi Perolehan Lainnya,1
Permintaan buka buku Desember 2019,1
Mohon bantuan Error GPP,1
Validasi SPM gaji di sistem SPAN Gagal,1
Spm no 00004T/409063/2020 satker 409063 sudah validasi di FO tapi tidak muncul di MO seski PD,1
tampilan pembebanan akun,1
Tidak Bisa Menghapus/Mengubah SPBY pada sakti,1
Cara mengubah nomor dan tgl SP2D yang sudah diupload,1
Permintaan USERNAME_MASKED untuk Pemda,1
Salah Memilih Kode Barang Aset Tetap,1
Permohonan Push E-Rekon SAKTI Manual 663513,1
Sakti Error,1
PERBEDAAN JUMLAH PELAPORAN (NEW),1
Gaji induk.ppnpn januari dan februari 2020,1
Aktivasi rekening bSM yang belum ada di SPAN untuk gaji,1
USERNAME_MASKED terkunci,1
Informasi atas SPMKP yang sudah diajukan ke KPPN,1
Permohonan untuk Push Data ke E-Rekon,1
Permohonan Penambahan Kewenangan USERNAME_MASKED Password Aplikasi Sakti KPPN Cilacap Penyaluran Dana Alokasi Khusus Fisik dan Dana Desa,1
Penambahan Role User,1
Kwitansi Tidak dipilih satu saja,1
Menu di Modul Admin Tidak Muncul,1
Keterlambatan,1
Daftar Bendahara Satker Tahun 2020 dgn Kondisi Bersertifikat dan tdk Bersertifikat a.n Lila Vita Damayanti,1
Push adk e rekon satker 560855,1
Kill Session Login Admin Sakti,1
Menambah Pegawai pada Supplier Pegawai SAKTI,1
permintaan penggantian approval Eselon II pada aplikasi CWSPAN (revisi DIPA),1
Pin Pejabat Pembuat Komitmen,1
cara menutup kontrka massal,1
Akun 212111 & 212112 di Buku Besar dan Neraca Percobaan Akrual Berbeda,1
Input pajak sas,1
Rekon Saldo Tidak Normal,1
Push Data SAKTI Periode Desember 2019 (Update 27_01_2020),1
Push Data e-Rekon,1
Akun Utang Yang Belum Diterima Tagihannya,1
Penyamaan Data Satker Baru Hasil Likuidasi dan Penambahan Histori Gaji,1
Penyampaian SK penetapan pejabat perbendaharaan penyaluran DFDD KPPN Bandung II,1
Permasalahan tidak adanya Menu Komitmen di USERNAME_MASKED,1
Penyampaian SK penetapan pejabat perbendaharaan penyaluran DFDD KPPN Pontianak,1
Tidak bisa login ke OMSPAN DPMD,1
belum bisa upload adk bendahara ke sprint,1
data tukin bulan februari 2020 pada aplikasi BPP tidak terbaca,1
Push Data E-Rekon,1
Penghapusan no gaji di gpp terpusat utk satker 018576,1
Permohonan USERNAME_MASKED Tingkat Eselon I,1
Penolakan Rekon GPP Satker Pusat Sains Tehnologi Nuklir dan Terapan (017283),1
alamat server pinppspm tidak bisa diakses dari komputer klien,1
PERMOHONAN PERUBAHAN NOMOR HP ADMINISTRATOR SAKTI,1
data tidak valid,1
Data Konfirmasi Penerimaan Pajak di OM SPAN belum muncul,1
menghapus Halaman IV B DIPA,1
Revisi Kanwil DJPB,1
IKPA Tahun 2019,1
Jabatan PPK,1
SPBY,1
Daftar SAKTI Web Level Unit (Eselon I) dan Kementerian,1
Pembatal ADK SPM Aplikasi SAKTI,1
Permohonan penambahan kewenangan akun SAKTI OPerator,1
"Permohonan hapus stock opname yg sudah dilakukan, dan buka buku persediaan bulan desember 2019",1
Tidak dapat mencatat pungutan pada SPBY yang telah disetujui,1
Tindak lanjut tiket hai 20200124-5TOZQN,1
Permohonan penghapusan referensi sakti web satker 890639,1
Persyaratan Admin Sakti Unit Eselon I,1
petunjuk teknis mpn g3,1
Selisih pengembalian belanja di rekon desember,1
konfirmasi penerimaan (PNBP),1
PERBAIKAN TRANSAKSI PENERIMAAN APAKAH BOLEH DILAKUKAN DI SPAN VERA DI LUAR MASA PERPANJANGAN PERBAIKAN TRANSAKSI?,1
cara upload APBDES,1
konfirmasi sp2d,1
sertifikat bendahara belum terbit,1
SAKTI: Muncul SSP yang error pada Monsakti,1
APLIKASI SAS 2020 TIDAK BISA BUAT KUITANSI,1
Error Kirim ADK LPJ SAS 20.0.2,1
Buka buku persediaan bulan desember 2019,1
Data LPJ tidak bisa kirim,1
Password Sakti,1
Pengelolaan Anggaran,1
"Selisih Kesesuaian Saldo UP Pada aplikasi SPRINT, Satker SAKTI",1
upload LPJ,1
APLIKASI GPP ERROR,1
Kill USERNAME_MASKED dan ppspm,1
tidak bs upload adk lpj,1
Sakti WEB,1
Ketidaksesuaian Pagu Awal Kegiatan 3704 (Satker 423011) pada halaman RUH Belanja Aplikasi SAKTI,1
permasalahan LPJ 2020,1
Error GPP terpusat,1
Gagal mengambil tahun anggaran ketika akan login di webSAKTI,1
Perubahan Nama Rekening pada aplikasi SPRINT,1
Kendala pada Aplikasi SAKTI WEB,1
Masalah Kekurangan Gaji,1
petunjuk revisi POK pada Aplikasi SAKTI,1
"Tidak mendapatkan NTPN, NTB dan informasi kode billing setelah proses pembayaran",1
Dana ke Rekening Bendahara belum masuk,1
proses update eoffice,1
validasi data belanja pada aplikasi SAKTI,1
Kota penandatangan SAKTI ganti jadi Makassar,1
Gaji Terusan bagi Bujang,1
kas tunai dan kas bank nol:SAKTI,1
Konfirmasi Pagu Tahun Anggaran 2019 dan Dana Luncuran Proyek yang dibiayai dengan SBSN,1
BANSOS BUKU 2014 KAB PEMALANG,1
Permohonan perpindahan pelaksana pada Aplikasi eOffice KPPN Pelaihari,1
Adanya jurnal yang masih menggantung,1
Permasalahan terkait rekening TNP,1
Data tidak realtime,1
Transaksi Penerimaan Negara Belum Muncul di OMSPAN,1
Data realisasi di OMSPAN,1
Tipe Suppier 6,1
Gagal rekon GPP terpusat,1
Perubahan nilai KKP Kantor UPP Atapupu.pdf,1
Tanggal Setoran SSBP,1
Tidak Bisa Batal SPM,1
Tanggungan BPJS suami/istri PNS,1
Permasalahan SPAN,1
ijin mengirimkan backup permasalah Berita acara belum bisa digunakan,1
neraca tidak seimbang,1
Data Kontrak Tidak Muncul Pada Perekaman BAST,1
SAS 2020 Tidak update potongan BPJS,1
Permasalahan USERNAME_MASKED tidak dapat upload data kontrak,1
Status Revisi DIPA di SAKTI,1
Permohonan penghapusan no gaji satker 018576,1
